Pyšný štít;49.19707;20.20854;MT;2621.0;2531
Kežmarský štít;49.19932;20.22029;MT;2556.0;2459
Huncovský štít;49.19797;20.22592;MT;2352.0;2308
Veľká Svišťovka;49.20493;20.23725;MT;2038.0;2009
Malý Kežmarský štít;49.20058;20.22072;MT;2513.0;2443
Jastrabia veža;49.21292;20.20772;MT;2137.0;2067
Polana;49.41589;20.43423;PK;582.0;550
Mlynár;49.19348;20.10228;MT;2170.0;2091
Gánok;49.17416;20.10485;MT;2462.0;2313
Kôprovský štít;49.18238;20.04803;MT;2363.0;2320
Štrbský štít;49.17065;20.04117;MT;2381.0;2338
Hrubý vrch;49.17068;20.02683;MT;2428.0;2387
Krátka;49.16307;20.01331;MT;2375.0;2343
Končistá;49.15766;20.11399;MT;2538.0;2496
Svišťový štít;49.18297;20.14729;MT;2383.0;2368
Javorový štít;49.18737;20.16789;MT;2418.0;2373
Nový;49.25047;20.18721;MT;1999.0;1944
Ťažký štít;49.17385;20.09232;MT;2520.0;2484
Dračí štít;49.17172;20.0958;MT;2523.0;2386
Batizovský štít;49.16518;20.12412;MT;2448.0;2347
Kostolík;49.16139;20.12451;MT;2262.0;2191
Popradský Ľadový štít;49.1658;20.11571;MT;2396.0;2336
Kvetnicová veža;49.16038;20.14219;MT;2433.0;2327
Lavínový štít;49.17017;20.12974;MT;2606.0;2396
Kotlový štít;49.16173;20.13669;MT;2601.0;2549
Východná Vysoká;49.17514;20.14549;MT;2428.0;2385
Divá veža;49.17865;20.14395;MT;2373.0;2252
Široká veža;49.19001;20.18257;MT;2462.0;2331
Ostrý štít;49.18863;20.17648;MT;2360.0;2239
Snehový štít;49.2024;20.18738;MT;2465.0;2414
Malý Ľadový štít;49.19618;20.18326;MT;2603.0;2529
Furkotský štít;49.16871;20.02739;MT;2405.0;2358
Hlinská veža;49.17062;20.04769;MT;2340.0;2290
Mengusovský Volovec;49.1759;20.06771;MT;2228.0;2182
Terianska veža;49.17343;20.01902;MT;2362.0;2319
Nefcerská veža;49.17671;20.01022;MT;2349.0;2300
Hrubá kopa;49.1794;20.00563;MT;2238.0;2214
Ostrva;49.1496;20.08953;MT;1984.0;1942
Tupá;49.15305;20.10198;MT;2285.0;2251
Zadný Gerlach;49.16652;20.13137;MT;2616.0;2576
Velický štít;49.17386;20.13483;MT;2319.0;2192
Litvorový štít;49.17287;20.13064;MT;2423.0;2298
Prostredný hrot;49.18501;20.19437;MT;2441.0;2381
Žltá veža;49.1858;20.19073;MT;2385.0;2349
Kupola;49.17379;20.14854;MT;2414.0;2384
Veľká kôpka;49.16975;20.08335;MT;2354.0;2265
Zlomisková veža;49.16549;20.09417;MT;2133.0;2136
Rumanov štít;49.17186;20.10695;MT;2428.0;2338
Zlobivá;49.17023;20.10794;MT;2426.0;2342
Kačacia veža;49.17839;20.10507;MT;2197.0;2038
Západný Železný štít;49.16922;20.10957;MT;2360.0;2345
Predné Solisko;49.15011;20.03808;MT;2093.0;2081
Štrbské Solisko;49.15488;20.03589;MT;2302.0;2267
Veľké Solisko;49.16248;20.03207;MT;2413.0;2365
Sedielková kopa;49.14974;20.02065;MT;2062.0;2051
Tichý vrch;49.20097;20.00516;MT;1979.0;1954
Malý Javorový štít;49.18768;20.1618;MT;2380.0;2312
Hranatá veža;49.18524;20.15828;MT;2260.0;2217
Východná Slavkovská veža;49.1704;20.16618;MT;2358.0;2308
Západná Slavkovská veža;49.17141;20.16159;MT;2394.0;2225
Slavkovská kopa;49.1681;20.17849;MT;2346.0;2306
Veľká Granátová veža;49.16585;20.15948;MT;2318.0;2257
Velická kopa;49.1626;20.16403;MT;2227.0;2181
Chmúrna veža;49.1817;20.19901;MT;2258.0;2107
Spišský štít;49.19906;20.2018;MT;2483.0;2440
Malý Pyšný štít;49.19864;20.2066;MT;2590.0;2540
Zadný Ľadový štít;49.20066;20.1848;MT;2512.0;2423
Malá Bašta;49.15552;20.05769;MT;2288.0;2243
Predná Bašta;49.1587;20.0549;MT;2374.0;2249
Zadná Bašta;49.16574;20.05138;MT;2379.0;2287
Liptovská veža;49.1585;20.02117;MT;2272.0;2243
Malý Kostol;49.17766;20.20686;MT;2095.0;1825
Svinka;49.21317;20.19064;MT;2163.0;2108
Kopa brán;49.21743;20.18227;MT;2022.0;1984
Štít nad Zeleným;49.20378;20.13554;MT;2131.0;2081
Žabí vrch;49.19766;20.14343;MT;2203.0;2170
Predná Javorová veža;49.19289;20.14923;MT;2216.0;2168
Ťažká veža;49.18333;20.09395;MT;2254.0;2096
Kačací štít;49.16591;20.11833;MT;2401.0;2329
Dromedárov hrb (Kotol);49.15777;20.13575;MT;2367.0;2334
Veža nad Poľanou;49.18945;20.13034;MT;1866.0;1845
Hrubá veža;49.18154;20.13004;MT;2086.0;2016
Klin;49.14834;20.10412;MT;2186.0;2161
Veľká Ľadová veža;49.20181;20.18214;MT;2387.0;2382
Malá Ľadová veža;49.20358;20.17373;MT;2185.0;2114
Tatra Mountains;49.16846;20.14275;MTS;1969.0;1969
Malá Svišťovka;49.19858;20.25499;MT;1558.0;1530
Rovienková Veža;49.1864;20.15956;MT;2272.0;2207
Kresaný roh;49.18715;20.16139;MT;2305.0;2312
Slovkovská nos;49.16393;20.19128;MT;2273.0;2240
Vtáčia hora;49.00748;20.99246;MT;698.0;705
Zvolanská;49.00667;20.89444;MT;1065.0;1064
Rudník;49.00248;20.85998;MT;1025.0;1012
Nad Búčom;49.03992;20.88431;MT;1104.0;1099
Petrova hora;49.04408;20.85818;MT;1046.0;1048
Homoľka;49.03564;20.91019;MT;970.0;961
Suchý vrch;49.04895;20.91491;MT;801.0;795
Červená skala;49.06;20.92152;MT;875.0;859
Brezina;49.07713;20.99185;MT;849.0;810
Mindžová;49.07482;20.96559;MT;920.0;914
Skalky;49.08989;20.97048;MT;836.0;829
Buče;49.07465;20.93641;MT;1005.0;997
Žliabky;49.10147;20.90465;MT;1028.0;1018
Javor;49.10537;20.91321;MT;931.0;927
Stavenec;49.10599;20.95707;MT;808.0;805
Kamenná;49.1045;20.9926;MT;810.0;797
Adamova hora;49.10385;20.87832;MT;939.0;918
Zadné Bendovce;49.12051;20.90686;MT;802.0;788
Predné Bendovce;49.12807;20.92437;MT;753.0;744
Predné zvežisko;49.14;20.94218;MT;530.0;525
Gerginovec;49.15724;20.91225;MT;494.0;488
Skalka;49.09197;20.86272;MT;777.0;772
Bučina;49.08258;20.89096;MT;956.0;955
Zubanec;49.21182;20.97394;MT;903.0;897
Lysá hora;49.21799;20.95248;MT;814.0;807
Vorotečka;49.2255;20.94553;MT;758.0;750
Ľubý vrch;49.23778;20.95668;MT;968.0;956
Minčolík;49.24285;20.96763;MT;1032.0;1017
Obrančak;49.25753;20.94467;MT;887.0;879
Dlhá;49.28329;20.9737;MT;1006.0;1001
Foderková;49.28777;20.96821;MT;885.0;872
Ostrý vrch;49.29672;20.97044;MT;898.0;888
Hriňová hora;49.24632;20.944;MT;887.0;878
Liberbarek;49.2139;20.97795;MT;957.0;954
Kostolný vrch;49.20257;20.99898;MT;841.0;826
Gregorka;49.19629;20.99924;MT;804.0;794
Krčmársky vrch;49.18827;20.97087;MT;594.0;589
Šperovec;49.17054;20.9661;MT;578.0;569
Čeliská;49.17514;20.97007;MT;656.0;656
Hrnčiarky;49.16333;20.99196;MT;559.0;547
Hrnčiarka;49.16939;20.99226;MT;620.0;615
Balážka;49.17912;20.94184;MT;642.0;642
Rohov;49.18642;20.93948;MT;679.0;685
Hrádok;49.20257;20.91583;MT;637.0;629
Demianka;49.20324;20.89205;MT;788.0;783
Gordoška;49.21995;20.84678;MT;767.0;769
Holý hrb;49.21712;20.83639;MT;726.0;729
Lazťík;49.21838;20.82309;MT;768.0;763
Beskyd;49.20885;20.81335;MT;744.0;737
Grapa;49.2526;20.80811;MT;695.0;694
Suchý vrch;49.24335;20.77384;MT;720.0;724
Sivý Kameň;49.24839;20.75762;MT;667.0;661
Sosnový vrch;49.26789;20.81646;MT;596.0;589
Bakuľa;49.27411;20.76822;MT;631.0;624
Zimná hora;49.28385;20.76101;MT;631.0;625
Chotárňa;49.31514;20.7417;MT;757.0;766
Nemecký vrch;49.31715;20.71793;MT;842.0;826
Hrubá Klada;49.32137;20.73541;MT;803.0;796
Široký vrch;49.33354;20.72443;MT;885.0;881
Príkre;49.0338;20.85188;MT;935.0;962
Kanný hrb;49.02168;20.89628;MT;1074.0;927
Príkry hrb;49.02835;20.93756;MT;733.0;594
Kopytovská hora;49.04101;20.93585;MT;626.0;517
Veľká skala;49.05825;20.8889;MT;930.0;932
Kravcová;49.04534;20.89177;MT;1035.0;877
Sopková;49.01661;20.9322;MT;660.0;563
